"Object","Close-Approach (CA) Date","CA DistanceNominal (au)","CA DistanceMinimum (au)","V relative(km/s)","V infinity(km/s)","H(mag)","Diameter","Rarity"
"(2011 GP28)","2011-Apr-06 19:38 ±    00:15","0.00064","0.00063","14.81","14.53","29.4","3.5 m -  7.8 m","0"
"(2011 JV10)","2011-May-05 17:14 ±    00:03","0.00232","0.00231","5.34","5.12","29.7","3.1 m -  6.8 m","0"
"(2009 BD)","2011-Jun-02 00:52 ± < 00:01","0.00231","0.00231","1.91","1.15","28.1","6.4 m -   14 m","0"
"(2011 MD)","2011-Jun-27 17:01 ± < 00:01","0.00012","0.00012","6.70","1.48","28.0","6.7 m -   15 m","2"
"(2011 PU1)","2011-Jul-24 19:30 ± < 00:01","0.00224","0.00224","5.60","5.39","25.6","20 m -   45 m","1"
"(2011 OD18)","2011-Jul-28 08:38 ±    00:03","0.00115","0.00114","9.54","9.29","26.5","13 m -   30 m","1"
"(2011 SE58)","2011-Sep-27 02:47 ± < 00:01","0.00159","0.00158","15.84","15.73","27.8","7.3 m -   16 m","0"
"(2011 TO)","2011-Sep-28 15:26 ±    00:03","0.00086","0.00086","8.86","8.51","26.6","13 m -   29 m","2"
"(2011 SM173)","2011-Sep-30 17:03 ± < 00:01","0.00194","0.00194","12.71","12.60","27.8","7.3 m -   16 m","0"
"(2011 UT)","2011-Oct-12 19:15 ±    00:04","0.00152","0.00151","10.17","10.00","25.8","18 m -   41 m","2"
"(2009 TM8)","2011-Oct-17 11:19 ± 1_17:47","0.00226","0.00119","8.18","8.03","28.4","5.6 m -   12 m","0"
"(2011 UL169)","2011-Oct-26 02:32 ± < 00:01","0.00177","0.00177","9.54","9.38","28.3","5.9 m -   13 m","0"
"(2011 UX255)","2011-Oct-28 17:44 ±    00:05","0.00093","0.00092","27.03","26.92","27.4","8.8 m -   20 m","1"
"308635 (2005 YU55)","2011-Nov-08 23:29 ± < 00:01","0.00217","0.00217","13.72","13.63","21.9","0.4 km","3"
"(2011 XC2)","2011-Dec-03 15:21 ±    00:05","0.00232","0.00231","20.93","20.87","23.2","61 m -  140 m","3"
"(2011 YC40)","2011-Dec-28 02:31 ±    00:15","0.00071","0.00071","11.37","11.04","29.6","3.1 m -  7.0 m","0"
"(2012 AQ)","2011-Dec-29 08:32 ±    00:02","0.00180","0.00179","3.28","2.79","30.7","1.9 m -  4.3 m","0"
"(2011 YC63)","2011-Dec-30 02:16 ±    00:07","0.00161","0.00160","18.80","18.71","29.0","4.2 m -  9.4 m","0"
"(2011 YB63)","2012-Jan-02 10:15 ±    00:04","0.00156","0.00156","8.53","8.33","29.8","2.9 m -  6.5 m","0"
"(2012 BV1)","2012-Jan-20 07:14 ±    00:01","0.00213","0.00212","8.66","8.51","31.0","1.7 m -  3.8 m","0"
"(2012 BX34)","2012-Jan-27 15:25 ± < 00:01","0.00044","0.00044","9.99","9.36","27.6","8.0 m -   18 m","2"
"(2012 DY13)","2012-Feb-20 22:43 ± < 00:01","0.00073","0.00073","17.20","16.99","27.8","7.3 m -   16 m","1"
"(2012 EZ1)","2012-Mar-01 10:36 ±    00:02","0.00155","0.00153","13.78","13.65","28.8","4.6 m -   10 m","0"
"(2012 FP35)","2012-Mar-26 05:51 ± < 00:01","0.00107","0.00107","14.18","14.01","27.9","7.0 m -   16 m","1"
"(2012 FS35)","2012-Mar-26 17:09 ± < 00:01","0.00043","0.00043","4.83","3.31","30.2","2.4 m -  5.4 m","0"
"(2012 EG5)","2012-Apr-01 09:33 ± < 00:01","0.00154","0.00154","8.54","8.34","24.3","37 m -   82 m","3"
"(2012 HM13)","2012-Apr-19 11:41 ± < 00:01","0.00188","0.00187","13.05","12.94","28.2","6.1 m -   14 m","0"
"(2012 JU)","2012-May-13 13:20 ± < 00:01","0.00136","0.00135","13.38","13.23","28.3","5.8 m -   13 m","0"
"(2012 KA)","2012-May-17 18:24 ± < 00:01","0.00150","0.00150","14.50","14.37","28.6","5.2 m -   12 m","0"
"(2010 KK37)","2012-May-19 22:45 ± 4_06:55","0.00148","0.00039","11.17","11.01","25.7","19 m -   43 m","2"
"(2012 KP24)","2012-May-28 15:21 ± < 00:01","0.00038","0.00038","13.27","12.73","26.4","14 m -   30 m","2"
"(2012 KT42)","2012-May-29 07:07 ± < 00:01","0.00014","0.00014","17.04","15.87","29.0","4.2 m -  9.4 m","2"
"(2012 MF7)","2012-Jun-21 02:42 ±    00:01","0.00212","0.00211","8.81","8.66","26.9","11 m -   25 m","1"
"(2012 TV)","2012-Oct-07 15:05 ± < 00:01","0.00170","0.00170","16.79","16.70","25.2","24 m -   53 m","2"
"(2012 TM79)","2012-Oct-09 17:05 ± < 00:01","0.00062","0.00061","9.86","9.41","26.6","13 m -   28 m","2"
"(2012 TC4)","2012-Oct-12 05:30 ± < 00:01","0.00063","0.00063","7.12","6.51","26.7","12 m -   27 m","2"
"(2012 VH77)","2012-Nov-12 20:59 ± < 00:01","0.00133","0.00133","11.28","11.10","27.3","9.2 m -   21 m","1"
"(2012 VJ38)","2012-Nov-14 01:52 ± < 00:01","0.00151","0.00151","4.89","4.51","28.5","5.3 m -   12 m","0"
"(2012 XE54)","2012-Dec-11 10:05 ± < 00:01","0.00150","0.00150","13.27","13.14","25.4","22 m -   49 m","2"
"(2012 XB112)","2012-Dec-14 15:06 ± < 00:01","0.00212","0.00212","4.44","4.14","29.9","0.0025±0.0005 km","0"
"(2012 XL134)","2012-Dec-15 15:43 ± < 00:01","0.00184","0.00183","10.05","9.90","27.8","7.3 m -   16 m","0"
"(2013 BR27)","2013-Jan-15 23:31 ±    00:05","0.00146","0.00145","11.16","11.00","27.8","7.3 m -   16 m","0"
"(2013 CY)","2013-Jan-28 06:09 ± < 00:01","0.00230","0.00230","2.93","2.51","28.2","6.1 m -   14 m","0"
"(2013 CY32)","2013-Feb-05 15:53 ±    00:02","0.00070","0.00070","32.20","32.09","28.1","6.4 m -   14 m","1"
"(2013 CL129)","2013-Feb-11 12:47 ±    00:24","0.00186","0.00185","6.07","5.83","28.4","5.6 m -   12 m","0"
"367943 Duende (2012 DA14)","2013-Feb-15 19:26 ± < 00:01","0.00023","0.00023","7.82","6.14","24.2","39 m -   86 m","4"
"(2013 EC)","2013-Mar-04 07:37 ± < 00:01","0.00246","0.00245","20.19","20.13","27.8","7.3 m -   16 m","0"
"(2013 EC20)","2013-Mar-09 02:41 ± < 00:01","0.00100","0.00100","3.57","2.73","29.0","4.2 m -  9.4 m","0"
"(2013 HT25)","2013-Apr-18 13:48 ±    00:06","0.00036","0.00036","29.82","29.57","28.9","4.5 m -   10 m","1"
"(2013 LR6)","2013-Jun-08 04:42 ± < 00:01","0.00074","0.00074","9.88","9.51","27.8","7.3 m -   16 m","1"
"(2013 PJ10)","2013-Aug-04 02:18 ± < 00:01","0.00248","0.00248","6.94","6.79","24.6","32 m -   71 m","2"
"(2013 PS13)","2013-Aug-09 05:21 ± < 00:01","0.00137","0.00137","17.39","17.28","27.2","9.7 m -   22 m","1"
"(2013 RG)","2013-Sep-03 10:27 ± < 00:01","0.00151","0.00151","16.17","16.06","29.4","3.5 m -  7.8 m","0"
"(2013 RO30)","2013-Sep-04 09:47 ± < 00:01","0.00195","0.00194","9.41","9.26","28.4","5.6 m -   12 m","0"
"(2013 RF32)","2013-Sep-05 11:26 ±    00:28","0.00112","0.00111","19.85","19.73","28.7","4.8 m -   11 m","0"
"(2013 RZ53)","2013-Sep-18 22:51 ± < 00:01","0.00163","0.00163","2.18","1.22","31.1","1.6 m -  3.6 m","0"
"(2013 TR12)","2013-Oct-04 09:52 ± < 00:01","0.00143","0.00143","14.50","14.37","28.6","5.1 m -   11 m","0"
"(2013 TL127)","2013-Oct-09 02:25 ±    00:02","0.00252","0.00251","13.99","13.92","26.7","12 m -   27 m","1"
"(2013 UR1)","2013-Oct-21 22:05 ± < 00:01","0.00168","0.00167","21.85","21.78","27.9","7.0 m -   16 m","0"
"(2013 UX2)","2013-Oct-25 15:29 ± < 00:01","0.00100","0.00100","4.37","3.72","29.2","3.8 m -  8.6 m","0"
"(2013 UV3)","2013-Oct-29 21:49 ± < 00:01","0.00189","0.00189","16.69","16.60","26.8","12 m -   26 m","1"
"(2013 VJ11)","2013-Nov-08 16:14 ± < 00:01","0.00228","0.00228","9.27","9.14","27.9","7.0 m -   16 m","0"
"(2013 WH25)","2013-Nov-29 00:46 ±    00:08","0.00089","0.00087","21.05","20.90","29.6","3.2 m -  7.1 m","0"
"(2013 XS21)","2013-Dec-11 23:26 ± < 00:01","0.00048","0.00048","8.26","7.57","29.4","3.5 m -  7.8 m","0"
"(2013 YB)","2013-Dec-23 12:51 ±    00:01","0.00018","0.00017","10.50","8.99","31.4","1.4 m -  3.1 m","0"
"(2014 AF5)","2014-Jan-01 16:13 ±    00:01","0.00064","0.00064","14.62","14.33","28.8","4.6 m -   10 m","0"
"(2014 AK51)","2014-Jan-08 09:09 ± < 00:01","0.00247","0.00246","9.27","9.16","26.6","13 m -   28 m","1"
"(2014 AG51)","2014-Jan-09 07:54 ±    00:02","0.00088","0.00087","15.04","14.83","29.9","2.8 m -  6.2 m","0"
"(2014 AW32)","2014-Jan-10 21:40 ± < 00:01","0.00125","0.00125","12.37","12.19","27.5","8.4 m -   19 m","1"
"(2022 BN2)","2014-Jan-28 23:05 ± 1_03:45","0.00167","0.00002","9.13","8.96","29.8","3.0 m -  6.6 m","0"
"(2014 DK10)","2014-Feb-21 11:27 ± < 00:01","0.00174","0.00174","12.02","11.89","27.7","7.7 m -   17 m","0"
"(2014 DX110)","2014-Mar-05 21:00 ± < 00:01","0.00233","0.00233","14.84","14.77","25.7","19 m -   43 m","1"
"(2014 EF)","2014-Mar-06 03:20 ± < 00:01","0.00113","0.00113","15.09","14.93","28.9","4.4 m -  9.9 m","0"
"(2014 EC)","2014-Mar-06 21:18 ± < 00:01","0.00041","0.00041","16.01","15.60","28.2","6.1 m -   14 m","1"
"(2014 EX24)","2014-Mar-09 14:35 ±    00:04","0.00176","0.00175","16.20","16.10","28.6","5.1 m -   11 m","0"
"(2014 GY44)","2014-Mar-30 00:26 ± < 00:01","0.00112","0.00112","12.50","12.31","25.4","22 m -   49 m","2"
"(2014 GC49)","2014-Apr-03 02:59 ±    00:05","0.00076","0.00076","17.08","16.87","28.6","5.1 m -   11 m","0"
"(2014 HL129)","2014-May-03 08:14 ± < 00:01","0.00195","0.00195","6.37","6.15","28.3","5.8 m -   13 m","0"
"(2014 JR24)","2014-May-07 10:45 ± < 00:01","0.00071","0.00071","4.63","3.74","29.3","3.7 m -  8.2 m","0"
"(2014 JG55)","2014-May-10 20:18 ± < 00:01","0.00068","0.00067","10.46","10.07","29.2","3.8 m -  8.6 m","0"
"(2014 KW76)","2014-May-26 23:29 ± < 00:01","0.00230","0.00229","15.13","15.05","27.9","7.0 m -   16 m","0"
"(2014 KC45)","2014-May-28 08:10 ± < 00:01","0.00059","0.00059","9.42","8.92","29.3","3.7 m -  8.2 m","0"
"(2014 LN17)","2014-Jun-03 12:56 ±    00:04","0.00143","0.00141","24.67","24.60","27.0","11 m -   24 m","1"
"(2014 LY21)","2014-Jun-03 17:38 ± 3_08:16","0.00013","0.00006","13.31","11.72","29.1","4.0 m -  9.0 m","2"
"(2014 MH6)","2014-Jun-22 14:05 ±    00:02","0.00165","0.00164","16.20","16.10","27.1","10 m -   23 m","1"
"(2014 OP2)","2014-Jul-24 08:35 ± < 00:01","0.00133","0.00133","11.67","11.50","29.1","4.0 m -  9.0 m","0"
"(2014 OM207)","2014-Jul-25 06:39 ± < 00:01","0.00180","0.00179","8.43","8.26","29.1","4.0 m -  9.0 m","0"
"(2014 RA)","2014-Aug-31 23:48 ± < 00:01","0.00038","0.00038","13.25","12.71","28.9","4.4 m -  9.9 m","1"
"(2014 RC)","2014-Sep-07 18:02 ± < 00:01","0.00027","0.00027","10.95","10.00","26.8","12 m -   26 m","3"
"(2014 SG1)","2014-Sep-20 14:48 ± < 00:01","0.00053","0.00053","13.87","13.51","29.1","4.0 m -  9.0 m","0"
"(2014 TL)","2014-Oct-01 15:59 ± < 00:01","0.00066","0.00066","11.12","10.75","27.8","7.3 m -   16 m","1"
"(2016 UD)","2014-Oct-18 13:27 ± 7_14:22","0.00033","0.00019","22.49","22.13","26.6","13 m -   28 m","2"
"(2014 UU56)","2014-Oct-19 11:03 ± < 00:01","0.00174","0.00174","8.39","8.21","28.6","5.1 m -   11 m","0"
"(2014 UF56)","2014-Oct-27 21:22 ± < 00:01","0.00110","0.00110","12.07","11.86","27.4","8.8 m -   20 m","1"
"(2014 WE6)","2014-Nov-13 18:06 ±    00:02","0.00147","0.00147","4.79","4.39","30.4","2.2 m -  4.9 m","0"
"(2014 WJ6)","2014-Nov-15 16:12 ±    00:01","0.00223","0.00222","14.65","14.56","27.1","10 m -   23 m","1"
